Estuary,Site,Date,Depth,Shoot,Leaf,Wasting Disease?,Height of WD
Yaquina Bay,SBN,JULY_2019,Lower,12,5,1,0
Yaquina Bay,SBN,JULY_2019,Lower,12,4,1,0
Yaquina Bay,SBN,JULY_2019,Lower,12,3,1,0
Yaquina Bay,SBN,JULY_2019,Lower,12,2,1,0
Yaquina Bay,SBN,JULY_2019,Lower,12,1,1,0
Yaquina Bay,SBN,JULY_2019,Lower,13,5,1,0
Yaquina Bay,SBN,JULY_2019,Lower,13,4,1,0
Yaquina Bay,SBN,JULY_2019,Lower,13,3,1,0
Yaquina Bay,SBN,JULY_2019,Lower,13,2,1,0
Yaquina Bay,SBN,JULY_2019,Lower,13,1,1,0
Yaquina Bay,SBN,JULY_2019,Lower,14,4,1,0
Yaquina Bay,SBN,JULY_2019,Lower,14,3,1,0
Yaquina Bay,SBN,JULY_2019,Lower,14,2,1,0
Yaquina Bay,SBN,JULY_2019,Lower,14,1,1,0
Yaquina Bay,SBN,JULY_2019,Lower,15,4,1,0
Yaquina Bay,SBN,JULY_2019,Lower,15,3,1,0
Yaquina Bay,SBN,JULY_2019,Lower,15,2,1,0
Yaquina Bay,SBN,JULY_2019,Lower,15,1,1,0
Yaquina Bay,SBN,JULY_2019,Upper,1,5,1,0
Yaquina Bay,SBN,JULY_2019,Upper,1,4,2,5
Yaquina Bay,SBN,JULY_2019,Upper,1,3,2,38.2
Yaquina Bay,SBN,JULY_2019,Upper,1,2,2,39
Yaquina Bay,SBN,JULY_2019,Upper,1,1,2,48.2
Yaquina Bay,SBN,JULY_2019,Upper,2,5,2,12.3
Yaquina Bay,SBN,JULY_2019,Upper,2,4,2,61.3
Yaquina Bay,SBN,JULY_2019,Upper,2,3,2,103.4
Yaquina Bay,SBN,JULY_2019,Upper,2,2,1,0
Yaquina Bay,SBN,JULY_2019,Upper,2,1,1,0
Yaquina Bay,SBN,JULY_2019,Upper,3,5,1,0
Yaquina Bay,SBN,JULY_2019,Upper,3,4,2,19.2
Yaquina Bay,SBN,JULY_2019,Upper,3,3,2,34.2
Yaquina Bay,SBN,JULY_2019,Upper,3,2,2,32.2
Yaquina Bay,SBN,JULY_2019,Upper,3,1,1,0
Yaquina Bay,SBN,JULY_2019,Upper,4,5,2,15.2
Yaquina Bay,SBN,JULY_2019,Upper,4,4,2,8.2
Yaquina Bay,SBN,JULY_2019,Upper,4,3,2,47.3
Yaquina Bay,SBN,JULY_2019,Upper,4,2,2,27.5
Yaquina Bay,SBN,JULY_2019,Upper,4,1,2,51
Yaquina Bay,SBN,JULY_2019,Upper,5,6,1,0
Yaquina Bay,SBN,JULY_2019,Upper,5,5,2,23.4
Yaquina Bay,SBN,JULY_2019,Upper,5,4,2,26.5
Yaquina Bay,SBN,JULY_2019,Upper,5,3,1,0
Yaquina Bay,SBN,JULY_2019,Upper,5,2,1,0
Yaquina Bay,SBN,JULY_2019,Upper,5,1,1,0
Yaquina Bay,SBN,JULY_2019,Upper,6,5,1,0
Yaquina Bay,SBN,JULY_2019,Upper,6,4,1,0
Yaquina Bay,SBN,JULY_2019,Upper,6,3,1,0
Yaquina Bay,SBN,JULY_2019,Upper,6,2,1,0
Yaquina Bay,SBN,JULY_2019,Upper,6,1,1,0
Yaquina Bay,SBN,JULY_2019,Upper,7,4,1,0
Yaquina Bay,SBN,JULY_2019,Upper,7,3,1,0
Yaquina Bay,SBN,JULY_2019,Upper,7,2,1,0
Yaquina Bay,SBN,JULY_2019,Upper,7,1,1,0
Yaquina Bay,SBN,JULY_2019,Upper,8,5,1,0
Yaquina Bay,SBN,JULY_2019,Upper,8,4,1,0
Yaquina Bay,SBN,JULY_2019,Upper,8,3,1,0
Yaquina Bay,SBN,JULY_2019,Upper,8,2,1,0
Yaquina Bay,SBN,JULY_2019,Upper,8,1,1,0
Yaquina Bay,SBN,JULY_2019,Upper,9,5,1,0
Yaquina Bay,SBN,JULY_2019,Upper,9,4,1,0
