Estuary,Site,Date,Depth,Shoot,Leaf,Wasting Disease?,Height of WD
Yaquina Bay,SBN,AUGUST_2019,Lower,12,1,2,84
Yaquina Bay,SBN,AUGUST_2019,Lower,13,4,1,0
Yaquina Bay,SBN,AUGUST_2019,Lower,13,3,2,35.3
Yaquina Bay,SBN,AUGUST_2019,Lower,13,2,2,103
Yaquina Bay,SBN,AUGUST_2019,Lower,13,1,1,0
Yaquina Bay,SBN,AUGUST_2019,Lower,14,5,1,0
Yaquina Bay,SBN,AUGUST_2019,Lower,14,4,1,0
Yaquina Bay,SBN,AUGUST_2019,Lower,14,3,1,0
Yaquina Bay,SBN,AUGUST_2019,Lower,14,2,1,0
Yaquina Bay,SBN,AUGUST_2019,Lower,14,1,1,0
Yaquina Bay,SBN,AUGUST_2019,Lower,15,5,1,0
Yaquina Bay,SBN,AUGUST_2019,Lower,15,4,1,0
Yaquina Bay,SBN,AUGUST_2019,Lower,15,3,1,0
Yaquina Bay,SBN,AUGUST_2019,Lower,15,2,1,0
Yaquina Bay,SBN,AUGUST_2019,Lower,15,1,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,1,5,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,1,4,2,23.2
Yaquina Bay,SBN,AUGUST_2019,Upper,1,3,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,1,2,2,47.2
Yaquina Bay,SBN,AUGUST_2019,Upper,1,1,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,2,5,2,29
Yaquina Bay,SBN,AUGUST_2019,Upper,2,4,2,15.1
Yaquina Bay,SBN,AUGUST_2019,Upper,2,3,2,50.8
Yaquina Bay,SBN,AUGUST_2019,Upper,2,2,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,2,1,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,3,4,2,12.8
Yaquina Bay,SBN,AUGUST_2019,Upper,3,3,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,3,2,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,3,1,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,4,4,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,4,3,2,48.3
Yaquina Bay,SBN,AUGUST_2019,Upper,4,2,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,4,1,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,5,4,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,5,3,2,45
Yaquina Bay,SBN,AUGUST_2019,Upper,5,2,2,13.7
Yaquina Bay,SBN,AUGUST_2019,Upper,5,1,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,6,5,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,6,4,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,6,3,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,6,2,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,6,1,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,7,5,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,7,4,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,7,3,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,7,2,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,7,1,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,8,5,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,8,4,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,8,3,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,8,2,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,8,1,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,9,4,2,7.3
Yaquina Bay,SBN,AUGUST_2019,Upper,9,3,2,34
Yaquina Bay,SBN,AUGUST_2019,Upper,9,2,2,41.2
Yaquina Bay,SBN,AUGUST_2019,Upper,9,1,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,10,5,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,10,4,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,10,3,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,10,2,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,10,1,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,11,5,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,11,4,2,14
Yaquina Bay,SBN,AUGUST_2019,Upper,11,3,2,53
Yaquina Bay,SBN,AUGUST_2019,Upper,11,2,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,11,1,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,12,4,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,12,3,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,12,2,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,12,1,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,13,4,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,13,3,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,13,2,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,13,1,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,14,4,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,14,3,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,14,2,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,14,1,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,15,4,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,15,3,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,15,2,1,0
Yaquina Bay,SBN,AUGUST_2019,Upper,15,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,1,4,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,1,3,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,1,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,1,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,2,4,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,2,3,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,2,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,2,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,3,3,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,3,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,3,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,4,3,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,4,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,4,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,5,4,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,5,3,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,5,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,5,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,6,4,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,6,3,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,6,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,6,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,7,4,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,7,3,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,7,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,7,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,8,3,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,8,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,8,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,9,4,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,9,3,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,9,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,9,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,10,3,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,10,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,10,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,11,3,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,11,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,11,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,12,4,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,12,3,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,12,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,12,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,13,4,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,13,3,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,13,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,13,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,14,3,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,14,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,14,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,15,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Lower,15,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,1,4,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,1,3,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,1,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,1,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,2,3,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,2,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,2,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,3,4,2,49.5
Yaquina Bay,SBS,AUGUST_2019,Upper,3,3,2,52.3
Yaquina Bay,SBS,AUGUST_2019,Upper,3,2,2,86.2
Yaquina Bay,SBS,AUGUST_2019,Upper,3,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,4,4,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,4,3,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,4,2,2,79
Yaquina Bay,SBS,AUGUST_2019,Upper,4,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,5,3,2,40.1
Yaquina Bay,SBS,AUGUST_2019,Upper,5,2,2,75.1
Yaquina Bay,SBS,AUGUST_2019,Upper,5,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,6,4,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,6,3,2,99.2
Yaquina Bay,SBS,AUGUST_2019,Upper,6,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,6,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,7,4,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,7,3,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,7,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,7,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,8,4,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,8,3,2,97.8
Yaquina Bay,SBS,AUGUST_2019,Upper,8,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,8,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,9,3,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,9,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,9,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,10,4,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,10,3,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,10,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,10,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,11,4,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,11,3,2,87.3
Yaquina Bay,SBS,AUGUST_2019,Upper,11,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,11,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,12,4,2,13.4
Yaquina Bay,SBS,AUGUST_2019,Upper,12,3,2,67.8
Yaquina Bay,SBS,AUGUST_2019,Upper,12,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,12,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,13,4,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,13,3,2,18.5
Yaquina Bay,SBS,AUGUST_2019,Upper,13,2,2,51.4
Yaquina Bay,SBS,AUGUST_2019,Upper,13,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,14,4,2,8.5
Yaquina Bay,SBS,AUGUST_2019,Upper,14,3,2,24.6
Yaquina Bay,SBS,AUGUST_2019,Upper,14,2,2,52.9
Yaquina Bay,SBS,AUGUST_2019,Upper,14,1,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,15,3,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,15,2,1,0
Yaquina Bay,SBS,AUGUST_2019,Upper,15,1,1,0
